# t_decimal_year  t_day  magnitude
1.344711618536542901e-03 4.911458333333332815e-01 2.500000000000000000e+00
1.348577644634373768e-03 4.925578703703702432e-01 2.500000000000000000e+00
1.354883703597229393e-03 4.948611111111110850e-01 2.700000000000000178e+00
1.354915392335736320e-03 4.948726851851851793e-01 2.700000000000000178e+00
1.373453304362220930e-03 5.016435185185185164e-01 3.500000000000000000e+00
1.399501447414820080e-03 5.111574074074074492e-01 2.500000000000000000e+00
1.415155684237184679e-03 5.168749999999999734e-01 3.899999999999999911e+00
1.419528730151124870e-03 5.184722222222222232e-01 3.200000000000000178e+00
1.426943894961718627e-03 5.211805555555555358e-01 2.500000000000000000e+00
1.438510284516704950e-03 5.254050925925926041e-01 2.500000000000000000e+00
1.439556012887429444e-03 5.257870370370369972e-01 2.600000000000000089e+00
1.452611773152235946e-03 5.305555555555555580e-01 2.799999999999999822e+00
1.457555216359298451e-03 5.323611111111110628e-01 2.700000000000000178e+00
1.480909816638818505e-03 5.408912037037036935e-01 3.700000000000000178e+00
1.498909020110687513e-03 5.474652777777777590e-01 2.600000000000000089e+00
1.504961569165488584e-03 5.496759259259259567e-01 2.799999999999999822e+00
1.509619813725989607e-03 5.513773148148147785e-01 3.200000000000000178e+00
1.523784679838534458e-03 5.565509259259259212e-01 2.799999999999999822e+00
1.531706864465237107e-03 5.594444444444444109e-01 3.000000000000000000e+00
1.555219908437291583e-03 5.680324074074074581e-01 3.200000000000000178e+00
1.559529576874217919e-03 5.696064814814815191e-01 2.899999999999999911e+00
1.569955171842958748e-03 5.734143518518518556e-01 2.500000000000000000e+00
1.599489076131306716e-03 5.842013888888888395e-01 3.700000000000000178e+00
1.614414471968015231e-03 5.896527777777778034e-01 2.500000000000000000e+00
1.621164173269965892e-03 5.921180555555555225e-01 2.600000000000000089e+00
1.627438543494314589e-03 5.944097222222222143e-01 2.899999999999999911e+00
1.629973642574859480e-03 5.953356481481481000e-01 3.700000000000000178e+00
1.648669998293878078e-03 6.021643518518517979e-01 2.500000000000000000e+00
1.653518375285420450e-03 6.039351851851851860e-01 2.600000000000000089e+00
1.658144931107414762e-03 6.056249999999999689e-01 3.600000000000000089e+00
1.666352314380678892e-03 6.086226851851851416e-01 2.500000000000000000e+00
1.674971651254531782e-03 6.117708333333333748e-01 2.799999999999999822e+00
1.691132907893005488e-03 6.176736111111110761e-01 2.600000000000000089e+00
