# t_day  lambda(t)  mu(t)=mu_ref*q_mu  q_mu(t)  q_K0(t)  K0(t)=K0_ref*q_K0
3.330473938044889781e+00 1.142879624742181335e+02 3.171730943913121337e+01 3.171730943913121337e+03 2.278543741441792836e+00 4.557087482883585838e-02
3.349290174982996415e+00 1.945753802526174923e+02 3.104175006184393837e+01 3.104175006184393624e+03 2.274107088735751070e+00 4.548214177471502501e-02
3.368106411921103049e+00 1.482758271720331038e+02 3.036993189957289019e+01 3.036993189957288905e+03 2.269113547296460975e+00 4.538227094592921923e-02
3.386922648859209684e+00 1.187331849566794943e+02 2.970204837571919754e+01 2.970204837571919597e+03 2.263579795373135806e+00 4.527159590746271389e-02
3.405738885797316318e+00 1.082997374285667291e+02 2.903829733283266634e+01 2.903829733283266705e+03 2.257522776359260241e+00 4.515045552718520427e-02
3.424555122735423396e+00 1.017746404427819016e+02 2.837888049931565959e+01 2.837888049931566002e+03 2.250959663610353712e+00 4.501919327220707534e-02
3.443371359673530030e+00 9.887300942345251542e+01 2.772400294824824840e+01 2.772400294824824869e+03 2.243907826054192256e+00 4.487815652108384512e-02
3.462187596611636664e+00 9.529777880154932745e+01 2.707387254934038623e+01 2.707387254934038538e+03 2.236384794658002217e+00 4.472769589316004379e-02
3.481003833549743298e+00 9.388109287836520878e+01 2.642869941508773479e+01 2.642869941508773536e+03 2.228408229811547514e+00 4.456816459623095389e-02
3.499820070487849932e+00 9.559209355471367076e+01 2.578869534226982196e+01 2.578869534226982069e+03 2.219995889679388323e+00 4.439991779358776897e-02
3.518636307425957011e+00 8.926820900495351907e+01 2.515407324999123517e+01 2.515407324999123375e+03 2.211165599570084073e+00 4.422331199140168423e-02
3.537452544364063645e+00 1.378849795244237839e+02 2.452504661551933651e+01 2.452504661551933623e+03 2.201935222364699740e+00 4.403870444729399841e-02
3.556268781302170279e+00 1.185571493673706840e+02 2.390182890922723757e+01 2.390182890922723800e+03 2.192322630041612985e+00 4.384645260083225998e-02
